ccf_ap	ccf_dv	ccf_lr	allen_ontology
9479.5	1593.2	2587.1	VISp
9499	1593.2	2612.5	VISp
9474.1	1573.9	2571	VISp
9493.6	1573.9	2596.4	VISp
9488.2	1554.7	2580.4	VISp
9507.7	1554.7	2605.8	VISp
9482.8	1535.5	2564.4	VISp
9502.3	1535.5	2589.8	VISp
9496.9	1516.2	2573.7	VISp
9516.4	1516.2	2599.1	VISp
9491.5	1497	2557.7	VISp
9511	1497	2583.1	VISp
9505.6	1477.8	2567.1	VISp
9525.1	1477.8	2592.4	VISp
9500.2	1458.5	2551	VISp
9519.7	1458.5	2576.4	VISp
9533.8	1439.3	2585.8	VISp
9508.9	1420	2544.3	VISp
9528.4	1420	2569.7	VISp
9523	1400.8	2553.7	VISp
9542.5	1400.8	2579.1	VISp
9517.6	1381.6	2537.7	VISp
9537.1	1381.6	2563.1	VISp
9531.7	1362.3	2547	VISp
9551.1	1362.3	2572.4	VISp
9526.3	1343.1	2531	VISp
9545.7	1343.1	2556.4	VISp
9540.4	1323.9	2540.4	VISp
9559.8	1323.9	2565.7	VISp
9535	1304.6	2524.3	VISp
9554.4	1304.6	2549.7	VISp
9549	1285.4	2533.7	VISp
9568.5	1285.4	2559.1	VISp
9543.6	1266.2	2517.6	VISp
9563.1	1266.2	2543	VISp
9557.7	1246.9	2527	VISp
9577.2	1246.9	2552.4	VISp
9552.3	1227.7	2511	VISp
9571.8	1227.7	2536.4	VISp
9566.4	1208.5	2520.3	VISp
9585.9	1208.5	2545.7	VISp
9561	1189.2	2504.3	VISp
9580.5	1189.2	2529.7	VISp
9575.1	1170	2513.7	VISp
9594.6	1170	2539	VISp
9569.7	1150.8	2497.6	VISp
9589.2	1150.8	2523	VISp
9583.8	1131.5	2507	VISp
9603.3	1131.5	2532.4	VISp
9578.4	1112.3	2491	VISp
9597.9	1112.3	2516.3	VISp
9592.5	1093.1	2500.3	VISp
9612	1093.1	2525.7	VISp
9587.1	1073.8	2484.3	VISp
9601.2	1054.6	2493.6	root
9620.7	1054.6	2519	root
9595.8	1035.4	2477.6	root
9615.3	1035.4	2503	root
